time, location, uncertainty,time(adj)
1580695393.52,0,0.0476190476,0.00
1580695393.64,0,0.0243997035,0.12
1580695393.76,0,0.0166176356,0.24
1580695393.87,0,0.0123464452,0.35
1580695393.98,0,0.0099014829,0.46
1580695394.08,0,0.0080416969,0.56
1580695394.19,0,0.0070273371,0.67
1580695394.3,0,0.0060682588,0.78
1580695394.39,0,0.0054960795,0.87
1580695394.49,0,0.0048721824,0.97
1580695394.59,0,0.0044395741,1.07
1580695394.68,0,0.0042135252,1.16
1580695394.78,0,0.0038202997,1.26
1580695394.88,0,0.0034269341,1.36
1580695394.96,0,0.0032629684,1.44
1580695395.06,0,0.0031167553,1.54
1580695395.15,0,0.0029855948,1.63
1580695395.24,0,0.0028173647,1.72
1580695395.34,0,0.0026193804,1.82
1580695395.51,0,0.0025337617,1.99
1580695395.6,0,0.0023679358,2.08
1580695395.7,0,0.0022608642,2.18
1580695395.78,0,0.002202536,2.26
1580695395.87,0,0.002032212,2.35
1580695395.95,0,0.0020247297,2.43
1580695396.04,0,0.0019459301,2.52
1580695396.12,0,0.0018383556,2.60
1580695396.21,0,0.0017731616,2.69
1580695396.3,0,0.0017443109,2.78
1580695396.39,0,0.0016540527,2.87
1580695396.48,0,0.0016010871,2.96
1580695396.56,0,0.0015804902,3.04
1580695396.64,0,0.001532062,3.12
1580695396.73,0,0.0014585358,3.21
1580695396.82,0,0.0013904444,3.30
1580695396.9,0,0.0013528238,3.38
1580695396.99,0,0.0013670392,3.47
1580695397.16,0,0.0012802132,3.64
1580695397.24,0,0.0012482526,3.72
1580695397.33,0,0.0012410062,3.81
1580695397.41,0,0.001233983,3.89
1580695397.5,0,0.0011813275,3.98
1580695397.59,0,0.0011760648,4.07
1580695397.68,0,0.0011051508,4.16
1580695397.76,0,0.0011019309,4.24
1580695397.84,0,0.0010781696,4.32
1580695398.01,0,0.001035187,4.49
1580695398.04,0,0.051035187,4.52
1580695398.07,0,0.101035187,4.55
1580695398.1,0,0.0334475658,4.58
1580695398.13,0,0.0834475658,4.61
1580695398.18,0,0.1334475658,4.66
1580695398.19,0,0.0356988334,4.67
1580695398.23,0,0.0856988334,4.71
1580695398.27,0,0.0318973527,4.75
1580695398.28,0,0.0818973527,4.76
1580695398.31,0,0.1318973527,4.79
1580695398.35,0,0.1818973527,4.83
1580695398.36,0,0.0392193681,4.84
1580695398.38,0,0.0892193681,4.86
1580695398.41,0,0.1392193681,4.89
1580695398.45,0,0.1892193681,4.93
1580695398.45,0,0.039086426,4.93
1580695398.47,0,0.089086426,4.95
1580695398.5,0,0.139086426,4.98
1580695398.53,0,0.0360739379,5.01
1580695398.55,0,0.0860739379,5.03
1580695398.61,0,0.1360739379,5.09
1580695398.61,0,0.0409920381,5.09
1580695398.67,0,0.0909920381,5.15
1580695398.69,0,0.1409920381,5.17
1580695398.7,0,0.0428030557,5.18
1580695398.71,0,0.0928030557,5.19
1580695398.76,0,0.1428030557,5.24
1580695398.8,0,0.1928030557,5.28
1580695398.85,0,0.2428030557,5.33
1580695398.87,0,0.0573120324,5.35
1580695398.89,0,0.1073120324,5.37
1580695398.92,0,0.1573120324,5.40
1580695398.96,0,0.0444012555,5.44
1580695398.96,0.0184350014,0.0944012555,5.44
1580695399,0.0584189892,0.1444012555,5.48
1580695399.02,0.0949978828,0.1944012555,5.50
1580695399.04,0.0949978828,-0.0188775918,5.52
1580695399.12,0.1318380833,0.0311224082,5.60
1580695399.13,0.1318380833,0.0201076762,5.61
1580695399.21,0.1318380833,0.0122422178,5.69
1580695399.29,0.1318380833,0.0074852811,5.77
1580695399.31,0.1687443256,0.0574852811,5.79
1580695399.38,0.1687443256,0.0252208286,5.86
1580695399.46,0.1687443256,0.0147714918,5.94
1580695399.5,0.2057163715,0.0647714918,5.98
1580695399.64,0.2057163715,0.0280635649,6.12
1580695399.69,0.2426533699,0.0780635649,6.17
1580695399.72,0.2426533699,0.0261518198,6.20
1580695399.8,0.2426533699,0.0145683945,6.28
1580695399.87,0.2792637348,0.0645683945,6.35
1580695399.89,0.2792637348,0.0258850924,6.37
1580695399.97,0.2792637348,0.0153871442,6.45
1580695400.06,0.3147308826,0.0653871442,6.54
1580695400.06,0.3147308826,0.0256213443,6.54
1580695400.15,0.3147308826,0.0141488311,6.63
1580695400.23,0.3147308826,0.0095804429,6.71
1580695400.25,0.3516023159,0.0595804429,6.73
1580695400.32,0.3516023159,0.0257516682,6.80
1580695400.4,0.3516023159,0.0148657773,6.88
1580695400.44,0.3886375427,0.0648657773,6.92
1580695400.48,0.3886375427,0.0260143395,6.96
1580695400.57,0.3886375427,0.0138126864,7.05
1580695400.62,0.4253139496,0.0638126864,7.10
1580695400.65,0.4253139496,0.0244659068,7.13
1580695400.74,0.4253139496,0.0134224641,7.22
1580695400.81,0.4603567123,0.0634224641,7.29
1580695400.83,0.4603567123,0.0251604564,7.31
1580695400.91,0.4603567123,0.0139287908,7.39
1580695401,0.4603567123,0.0090273418,7.48
1580695401.01,0.4973597527,0.0590273418,7.49
1580695401.08,0.4973597527,0.0244450501,7.56
1580695401.17,0.4973597527,0.0132373658,7.65
1580695401.19,0.5340678692,0.0632373658,7.67
1580695401.25,0.5340678692,0.0246281229,7.73
1580695401.33,0.5340678692,0.0140082037,7.81
1580695401.37,0.569370985,0.0640082037,7.85
1580695401.42,0.569370985,0.0265194577,7.90
1580695401.5,0.569370985,0.0156807868,7.98
1580695401.57,0.6083674431,0.0656807868,8.05
1580695401.59,0.6083674431,0.0257355295,8.07
1580695401.76,0.6432778835,0.0757355295,8.24
1580695401.76,0.6432778835,0.0294420222,8.24
1580695401.84,0.6432778835,0.0159208017,8.32
1580695401.93,0.6432778835,0.0096974226,8.41
1580695401.94,0.6781563759,0.0596974226,8.42
1580695402.01,0.6781563759,0.025028755,8.49
1580695402.09,0.6781563759,0.0142004242,8.57
1580695402.12,0.7152256966,0.0642004242,8.60
1580695402.18,0.7152256966,0.0257693006,8.66
1580695402.26,0.7152256966,0.0150301754,8.74
1580695402.31,0.7520651817,0.0650301754,8.79
1580695402.35,0.7520651817,0.025707495,8.83
1580695402.43,0.7520651817,0.0141898336,8.91
1580695402.5,0.7888710499,0.0641898336,8.98
1580695402.52,0.7888710499,0.0244611448,9.00
1580695402.6,0.7888710499,0.0130672789,9.08
1580695402.69,0.7888710499,0.0086673894,9.17
1580695402.69,0.8260378838,0.0586673894,9.17
1580695402.77,0.8260378838,0.0253265127,9.25
1580695402.87,0.8612751961,0.0753265127,9.35
1580695402.94,0.8612751961,0.0294856853,9.42
1580695403.02,0.8612751961,0.0162635671,9.50
1580695403.07,0.900206089,0.0662635671,9.55
1580695403.12,0.900206089,0.0257982277,9.60
1580695403.19,0.900206089,0.0148876969,9.67
1580695403.28,0.900206089,0.0089742617,9.76
1580695403.28,0.9388439655,0.0589742617,9.76
1580695403.36,0.9388439655,0.0271559871,9.84
1580695403.45,0.9388439655,0.0155197641,9.93
1580695403.46,0.9758155346,0.0655197641,9.94
1580695403.53,0.9758155346,0.025138843,10.01
1580695403.62,0.9758155346,0.0140872406,10.10
1580695403.65,1.0128502846,0.0640872406,10.13
1580695403.69,1.0128502846,0.0252156477,10.17
1580695403.78,1.0128502846,0.0144524583,10.26
1580695403.84,1.0488388538,0.0644524583,10.32
1580695403.86,1.0488388538,0.0252535803,10.34
1580695403.95,1.0488388538,0.0143077963,10.43
1580695404.03,1.0488388538,0.0095317802,10.51
1580695404.04,1.0593650341,0.0595317802,10.52
1580695404.12,1.0593650341,0.0261599374,10.60
1580695404.2,1.0593650341,0.0172803127,10.68
1580695404.22,1.0593650341,0.0672803127,10.70
1580695404.28,1.0593650341,0.0285962186,10.76
1580695404.37,1.0593650341,0.018191854,10.85
1580695404.41,1.0593650341,0.068191854,10.89
1580695404.54,1.0593650341,0.0289339369,11.02
1580695404.59,1.0593650341,0.0789339369,11.07
1580695404.62,1.0593650341,0.0303238243,11.10
1580695404.71,1.0593650341,0.0187817276,11.19
